"Fishery","Obs_Value","Measure","Unit","Freq","Time_Period","PICT"
"Offshore Foreign-based",136893,"Volume","Tonnes","A",2021,"Nauru"
"Freshwater",0,"Volume","Tonnes","A",2021,"Nauru"
"Coastal Commercial",1540000,"Value","AU$","A",2021,"Nauru"
"Coastal Subsistence",770000,"Value","AU$","A",2021,"Nauru"
"Offshore Locally-based",186718705,"Value","AU$","A",2021,"Nauru"
"Offshore Foreign-based",228583931,"Value","AU$","A",2021,"Nauru"
"Freshwater",0,"Value","AU$","A",2021,"Nauru"
"Coastal Commercial",680,"Volume","Tonnes","A",2021,"New_Caledonia"
"Coastal Subsistence",4760,"Volume","Tonnes","A",2021,"New_Caledonia"
"Offshore Locally-based",2625,"Volume","Tonnes","A",2021,"New_Caledonia"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"New_Caledonia"
"Freshwater",10,"Volume","Tonnes","A",2021,"New_Caledonia"
"Coastal Commercial",524280000,"Value","XPF","A",2021,"New_Caledonia"
"Coastal Subsistence",2568972000,"Value","XPF","A",2021,"New_Caledonia"
"Offshore Locally-based",1140000000,"Value","XPF","A",2021,"New_Caledonia"
"Offshore Foreign-based",0,"Value","XPF","A",2021,"New_Caledonia"
"Freshwater",5397000,"Value","XPF","A",2021,"New_Caledonia"
"Coastal Commercial",9,"Volume","Tonnes","A",2021,"Niue"
"Coastal Subsistence",160,"Volume","Tonnes","A",2021,"Niue"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Niue"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Niue"
"Freshwater",0,"Volume","Tonnes","A",2021,"Niue"
"Coastal Commercial",135000,"Value","NZ$","A",2021,"Niue"
"Coastal Subsistence",1680000,"Value","NZ$","A",2021,"Niue"
"Offshore Locally-based",0,"Value","NZ$","A",2021,"Niue"
"Offshore Foreign-based",0,"Value","NZ$","A",2021,"Niue"
"Freshwater",0,"Value","NZ$","A",2021,"Niue"
"Coastal Commercial",183,"Volume","Tonnes","A",2021,"Northern_Marianas_Islands"
"Coastal Subsistence",204,"Volume","Tonnes","A",2021,"Northern_Marianas_Islands"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Northern_Marianas_Islands"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Northern_Marianas_Islands"
"Freshwater",0,"Volume","Tonnes","A",2021,"Northern_Marianas_Islands"
"Coastal Commercial",1175803,"Value","US$","A",2021,"Northern_Marianas_Islands"
"Coastal Subsistence",915960,"Value","US$","A",2021,"Northern_Marianas_Islands"
"Offshore Locally-based",0,"Value","US$","A",2021,"Northern_Marianas_Islands"
"Offshore Foreign-based",0,"Value","US$","A",2021,"Northern_Marianas_Islands"
"Freshwater",0,"Value","US$","A",2021,"Northern_Marianas_Islands"
"Coastal Commercial",1000,"Volume","Tonnes","A",2021,"Palau"
"Coastal Subsistence",1400,"Volume","Tonnes","A",2021,"Palau"
"Offshore Locally-based",41,"Volume","Tonnes","A",2021,"Palau"
"Offshore Foreign-based",1315,"Volume","Tonnes","A",2021,"Palau"
"Freshwater",1,"Volume","Tonnes","A",2021,"Palau"
"Aquaculture",11,"Volume","Tonnes","A",2021,"Palau"
"Freshwater",4419,"Volume","Pieces","A",2021,"Palau"
"Coastal Commercial",5510000,"Value","US$","A",2021,"Palau"
"Coastal Subsistence",5399800,"Value","US$","A",2021,"Palau"
"Offshore Locally-based",395000,"Value","US$","A",2021,"Palau"
"Offshore Foreign-based",10968872,"Value","US$","A",2021,"Palau"
"Freshwater",10000,"Value","US$","A",2021,"Palau"
"Aquaculture",81000,"Value","US$","A",2021,"Palau"
"Coastal Commercial",3,"Volume","Tonnes","A",2021,"Pitcairn_Islands"
"Coastal Subsistence",6,"Volume","Tonnes","A",2021,"Pitcairn_Islands"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Pitcairn_Islands"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Pitcairn_Islands"
"Freshwater",0,"Volume","Tonnes","A",2021,"Pitcairn_Islands"
"Aquaculture",0,"Volume","Tonnes","A",2021,"Pitcairn_Islands"
"Coastal Commercial",27000,"Value","NZ$","A",2021,"Pitcairn_Islands"
"Coastal Subsistence",21000,"Value","NZ$","A",2021,"Pitcairn_Islands"
"Offshore Locally-based",0,"Value","NZ$","A",2021,"Pitcairn_Islands"
"Offshore Foreign-based",0,"Value","NZ$","A",2021,"Pitcairn_Islands"
"Freshwater",0,"Value","NZ$","A",2021,"Pitcairn_Islands"
"Aquaculture",0,"Value","NZ$","A",2021,"Pitcairn_Islands"
"Coastal Commercial",6000,"Volume","Tonnes","A",2021,"Papau_New_Guinea"
"Coastal Subsistence",40000,"Volume","Tonnes","A",2021,"Papau_New_Guinea"
"Offshore Locally-based",170755,"Volume","Tonnes","A",2021,"Papau_New_Guinea"
"Offshore Foreign-based",161133,"Volume","Tonnes","A",2021,"Papau_New_Guinea"
"Freshwater",23000,"Volume","Tonnes","A",2021,"Papau_New_Guinea"
"Freshwater",850,"Volume","Pieces","A",2021,"Papau_New_Guinea"
"Coastal Commercial",66000000,"Value","K","A",2021,"Papau_New_Guinea"
"Coastal Subsistence",280000000,"Value","K","A",2021,"Papau_New_Guinea"
"Offshore Locally-based",779000000,"Value","K","A",2021,"Papau_New_Guinea"
"Offshore Foreign-based",732000000,"Value","K","A",2021,"Papau_New_Guinea"
"Freshwater",129000000,"Value","K","A",2021,"Papau_New_Guinea"
"Coastal Commercial",5500,"Volume","Tonnes","A",2021,"Samoa"
"Coastal Subsistence",5500,"Volume","Tonnes","A",2021,"Samoa"
"Offshore Locally-based",1001,"Volume","Tonnes","A",2021,"Samoa"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Samoa"
"Freshwater",10,"Volume","Tonnes","A",2021,"Samoa"
"Freshwater",10000,"Volume","Pieces","A",2021,"Samoa"
"Coastal Commercial",58000000,"Value","ST$","A",2021,"Samoa"
"Coastal Subsistence",40000000,"Value","ST$","A",2021,"Samoa"
"Offshore Locally-based",10300000,"Value","ST$","A",2021,"Samoa"
"Offshore Foreign-based",0,"Value","ST$","A",2021,"Samoa"
"Freshwater",73500,"Value","ST$","A",2021,"Samoa"
"Coastal Commercial",5000,"Volume","Tonnes","A",2021,"Solomon_Islands"
"Coastal Subsistence",25000,"Volume","Tonnes","A",2021,"Solomon_Islands"
"Offshore Locally-based",50597,"Volume","Tonnes","A",2021,"Solomon_Islands"
"Offshore Foreign-based",62234,"Volume","Tonnes","A",2021,"Solomon_Islands"
"Freshwater",2500,"Volume","Tonnes","A",2021,"Solomon_Islands"
"Aquaculture",3150,"Volume","Tonnes","A",2021,"Solomon_Islands"
"Coastal Commercial",80000000,"Value","SI$","A",2021,"Solomon_Islands"
"Coastal Subsistence",325000000,"Value","SI$","A",2021,"Solomon_Islands"
"Offshore Locally-based",637151003,"Value","SI$","A",2021,"Solomon_Islands"
"Offshore Foreign-based",631789004,"Value","SI$","A",2021,"Solomon_Islands"
"Freshwater",34000000,"Value","SI$","A",2021,"Solomon_Islands"
"Aquaculture",15750000,"Value","SI$","A",2021,"Solomon_Islands"
"Coastal Commercial",0,"Volume","Tonnes","A",2021,"Tokelau"
"Coastal Subsistence",300,"Volume","Tonnes","A",2021,"Tokelau"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Tokelau"
"Offshore Foreign-based",5548,"Volume","Tonnes","A",2021,"Tokelau"
"Freshwater",0,"Volume","Tonnes","A",2021,"Tokelau"
"Aquaculture",0,"Volume","Tonnes","A",2021,"Tokelau"
"Coastal Commercial",0,"Value","NZ$","A",2021,"Tokelau"
"Coastal Subsistence",1050000,"Value","NZ$","A",2021,"Tokelau"
"Offshore Locally-based",0,"Value","NZ$","A",2021,"Tokelau"
"Offshore Foreign-based",13986000,"Value","NZ$","A",2021,"Tokelau"
"Freshwater",0,"Value","NZ$","A",2021,"Tokelau"
"Aquaculture",0,"Value","NZ$","A",2021,"Tokelau"
"Coastal Commercial",3500,"Volume","Tonnes","A",2021,"Tonga"
"Coastal Subsistence",3500,"Volume","Tonnes","A",2021,"Tonga"
"Offshore Locally-based",290,"Volume","Tonnes","A",2021,"Tonga"
"Offshore Foreign-based",1759,"Volume","Tonnes","A",2021,"Tonga"
"Freshwater",1,"Volume","Tonnes","A",2021,"Tonga"
"Freshwater",35000,"Volume","Pieces","A",2021,"Tonga"
"Coastal Commercial",33200000,"Value","T$","A",2021,"Tonga"
"Coastal Subsistence",23000000,"Value","T$","A",2021,"Tonga"
"Offshore Locally-based",3400000,"Value","T$","A",2021,"Tonga"
"Offshore Foreign-based",21900000,"Value","T$","A",2021,"Tonga"
"Freshwater",6650,"Value","T$","A",2021,"Tonga"
"Aquaculture",1000000,"Value","T$","A",2021,"Tonga"
"Coastal Commercial",350,"Volume","Tonnes","A",2021,"Tuvalu"
"Coastal Subsistence",1150,"Volume","Tonnes","A",2021,"Tuvalu"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Tuvalu"
"Offshore Foreign-based",71817,"Volume","Tonnes","A",2021,"Tuvalu"
"Freshwater",2,"Volume","Tonnes","A",2021,"Tuvalu"
"Aquaculture",0,"Volume","Tonnes","A",2021,"Tuvalu"
"Coastal Commercial",1942500,"Value","AU$","A",2021,"Tuvalu"
"Coastal Subsistence",3795000,"Value","AU$","A",2021,"Tuvalu"
"Offshore Locally-based",0,"Value","AU$","A",2021,"Tuvalu"
"Offshore Foreign-based",124671781,"Value","AU$","A",2021,"Tuvalu"
"Freshwater",2000,"Value","AU$","A",2021,"Tuvalu"
"Aquaculture",0,"Value","AU$","A",2021,"Tuvalu"
"Coastal Commercial",1300,"Volume","Tonnes","A",2021,"Vanuatu"
"Coastal Subsistence",3100,"Volume","Tonnes","A",2021,"Vanuatu"
"Offshore Locally-based",1000,"Volume","Tonnes","A",2021,"Vanuatu"
"Offshore Foreign-based",2320,"Volume","Tonnes","A",2021,"Vanuatu"
"Freshwater",88,"Volume","Tonnes","A",2021,"Vanuatu"
"Freshwater",4000,"Volume","Pieces","A",2021,"Vanuatu"
"Coastal Commercial",780000000,"Value","VT","A",2021,"Vanuatu"
"Coastal Subsistence",1085000000,"Value","VT","A",2021,"Vanuatu"
"Offshore Locally-based",256000000,"Value","VT","A",2021,"Vanuatu"
"Offshore Foreign-based",1010000000,"Value","VT","A",2021,"Vanuatu"
"Freshwater",33300000,"Value","VT","A",2021,"Vanuatu"
"Coastal Commercial",42,"Volume","Tonnes","A",2021,"Wallis_and_Futuna"
"Coastal Subsistence",221,"Volume","Tonnes","A",2021,"Wallis_and_Futuna"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Wallis_and_Futuna"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Wallis_and_Futuna"
"Freshwater",1,"Volume","Tonnes","A",2021,"Wallis_and_Futuna"
"Coastal Commercial",48000000,"Value","XPF","A",2021,"Wallis_and_Futuna"
"Coastal Subsistence",177400000,"Value","XPF","A",2021,"Wallis_and_Futuna"
"Offshore Locally-based",0,"Value","XPF","A",2021,"Wallis_and_Futuna"
"Offshore Foreign-based",0,"Value","XPF","A",2021,"Wallis_and_Futuna"
"Freshwater",200000,"Value","XPF","A",2021,"Wallis_and_Futuna"
