"Measure","variable","value"
"Fish Exports","Unit","Tonnes"
"Fish Exports","Unit","Pounds"
"Fish Exports","Unit","K"
"Fish Exports","Unit","ST$"
"Fish Exports","Unit","SI$"
"Fish Exports","Unit","KGs"
"Fish Exports","Unit","T$"
"Fish Exports","Unit","VT"
"Fisheries Revenue","Revenue_Source","Fisheries U.S. Treaty"
"Fisheries Revenue","Revenue_Source","Fishing licenses"
"Fisheries Revenue","Revenue_Source","Fishing fines"
"Fisheries Revenue","Revenue_Source","VDS revenue"
"Fisheries Revenue","Revenue_Source","Fishing rights"
"Fisheries Revenue","Revenue_Source","Licensing/registration"
"Fisheries Revenue","Revenue_Source","Observer fees"
"Fisheries Revenue","Revenue_Source","Transshipment fees"
"Fisheries Revenue","Revenue_Source","Fishing violations"
"Fisheries Revenue","Revenue_Source","Boat charter fees"
"Fisheries Revenue","Revenue_Source","Other"
"Fisheries Revenue","Revenue_Source","1055 - Support  vessel charges"
"Fisheries Revenue","Revenue_Source","1071 - Purse seine  revenue - licensing"
"Fisheries Revenue","Revenue_Source","1072 - Purse seine  revenue - fishing days"
"Fisheries Revenue","Revenue_Source","Percent fisheries revenue  of total government revenue"
"Fisheries Revenue","Revenue_Source","Fisheries revenue (NZ$)"
"Fisheries Revenue","Revenue_Source","Total government  revenue (NZ$)"
"Fisheries Revenue","Revenue_Source","Fees from longlining"
"Fisheries Revenue","Revenue_Source","Fees from purse seining"
"Fisheries Revenue","Revenue_Source","Total fees"
"Fisheries Revenue","Revenue_Source","Total government revenue (for FY)"
"Fisheries Revenue","Revenue_Source","Fisheries license fees (overseas)"
"Fisheries Revenue","Revenue_Source","Fisheries license fees (local)"
"Fisheries Revenue","Revenue_Source","FFA receipts"
"Fisheries Revenue","Revenue_Source","PNA (FSM) fishing licence fees"
"Fisheries Revenue","Revenue_Source","Export permit fees"
"Fisheries Revenue","Revenue_Source","Fish processing licence fees"
"Fisheries Revenue","Revenue_Source","Port entry fees"
"Fisheries Revenue","Revenue_Source","Fish and miscellaneous sales"
"Fisheries Revenue","Revenue_Source","Transshipment levies"
"Fisheries Revenue","Revenue_Source","Observer and services fees"
"Fisheries Revenue","Revenue_Source","Fisheries Revenue"
"Fisheries Revenue","Year","2019"
"Fisheries Revenue","Year","2020"
"Fisheries Revenue","Year","2021"
"Fisheries Revenue","Year","2018"
"Fisheries Revenue","Year","2022"
"Fisheries Revenue","Year","2015"
"Fisheries Revenue","Year","2016"
"Fisheries Revenue","Year","2017"
"Fisheries Revenue","Year","2011"
"Fisheries Revenue","Year","2012"
"Fisheries Revenue","Year","2013"
"Fisheries Revenue","Year","2014"
"Fisheries Revenue","Unit","NZ$"
"Fisheries Revenue","Unit","US$"
"Fisheries Revenue","Unit","A$"
"Fisheries Revenue","Unit","SI$"
"Fishing contribution to GDP","Harvest_Sector","Fishing (including pearls)"
"Fishing contribution to GDP","Harvest_Sector","Fisheries contribution to GDP"
"Fishing contribution to GDP","Harvest_Sector","Fishing & aquaculture"
"Fishing contribution to GDP","Harvest_Sector","Fiji GDP"
"Fishing contribution to GDP","Harvest_Sector","Informal sector fishing for cash sales"
"Fishing contribution to GDP","Harvest_Sector","Seaweed growers"
"Fishing contribution to GDP","Harvest_Sector","Informal sector fishing for subsistence"
"Fishing contribution to GDP","Harvest_Sector","Formal sector fishing"
"Fishing contribution to GDP","Harvest_Sector","Total fishing contribution"
"Fishing contribution to GDP","Harvest_Sector","Kiribati GDP at market prices"
"Fishing contribution to GDP","Harvest_Sector","Fishing contribution"
"Fishing contribution to GDP","Harvest_Sector","Fishing contribution to GDP  (millions of A$)"
"Fishing contribution to GDP","Harvest_Sector","Fishing contribution to GDP"
"Fishing contribution to GDP","Harvest_Sector","Gross output fishing"
"Fishing contribution to GDP","Harvest_Sector","Value added fishing"
"Fishing contribution to GDP","Harvest_Sector","Formal fishing"
"Fishing contribution to GDP","Harvest_Sector","Informal fishing"
"Fishing contribution to GDP","Harvest_Sector","PNG GDP"
"Fishing contribution to GDP","Harvest_Sector","Value added fishing as % of PNG GDP"
"Fishing contribution to GDP","Harvest_Sector","Gross output of agriculture and fishing"
"Fishing contribution to GDP","Harvest_Sector","Intermediate consumption of  agriculture and fishing"
"Fishing contribution to GDP","Harvest_Sector","Value added of agriculture and fishing"
"Fishing contribution to GDP","Harvest_Sector","Fishing contribution (VT millions)"
"Fishing contribution to GDP","Year","2017"
"Fishing contribution to GDP","Year","2018"
"Fishing contribution to GDP","Year","2019"
"Fishing contribution to GDP","Year","2020"
"Fishing contribution to GDP","Year","2021"
"Fishing contribution to GDP","Year",NA
"Fishing contribution to GDP","Year","2016"
"Fishing contribution to GDP","Year","20201"
"Fishing contribution to GDP","Year","20212"
"Fishing contribution to GDP","Year","2013"
"Fishing contribution to GDP","Year","2014"
"Fishing contribution to GDP","Year","2015"
"Fishing contribution to GDP","Unit","NZ$"
"Fishing contribution to GDP","Unit","US$"
"Fishing contribution to GDP","Unit","F$"
"Fishing contribution to GDP","Unit","A$"
"Fishing contribution to GDP","Unit","K"
"Fishing contribution to GDP","Unit","SI$"
"Fishing contribution to GDP","Unit","VT"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Coastal commercial"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Coastal subsistence"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Offshore locally Based"
"Fishing contribution to GDP - VAR Method","Harvest_Sector","Freshwater"
